main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",MOM Makhana Himalayan Salt n Pepper,MOM,45,50,20 g,4.3 (461),In Stock,https://www.zeptonow.com/pn/mom-makhana-himalayan-salt-n-pepper/pvid/381cbb69-88dc-429d-9c3d-72a7870f698e,"https://cdn.zeptonow.com/production/tr:w-1280,ar-3402-3402,pr-true,f-auto,q-80/cms/product_variant/847e204d-23d5-4700-9f75-341078806bb5.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Stroom Center-Filled 20G Protein Bars - Premium Protein And No Added Sugar | Assorted,Stroom,408,520,1 pack (4 pcs),4.4 (146),In Stock,https://www.zeptonow.com/pn/stroom-center-filled-20g-protein-bars-premium-protein-and-no-added-sugar-assorted/pvid/3b43d008-bb5e-4739-949b-43e9b39f72de,"https://cdn.zeptonow.com/production/tr:w-1280,ar-4000-3008,pr-true,f-auto,q-80/cms/product_variant/a6196fb4-b3ee-4742-ba1c-0d31a9826f45.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Let's Try Butter Murukku,Let's,88,120,180 g,4.6 (5.0k),In Stock,https://www.zeptonow.com/pn/lets-try-butter-murukku/pvid/d85739f8-d3c8-495b-90e6-c71128951b8f,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1573-1600,pr-true,f-auto,q-80/cms/product_variant/ee328b44-5052-4652-b045-e7e63384e97b.jpg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Crax Biggies Swiss Cheese Puff Snacks,Crax,36,60,65 g,4.7 (20.1k),In Stock,https://www.zeptonow.com/pn/crax-biggies-swiss-cheese-puff-snacks/pvid/4f1e8eb5-eed1-4697-a4d2-5fa59f7f6f15,"https://cdn.zeptonow.com/production/tr:w-1280,ar-738-989,pr-true,f-auto,q-80/cms/product_variant/00f679de-9685-4442-92f6-f19ba925ef01.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Crax Cheese Balls Puff Snacks,Crax,25,25,54 g,4.7 (24.8k),In Stock,https://www.zeptonow.com/pn/crax-cheese-balls-puff-snacks/pvid/c0ced200-4526-427a-b403-53c251375ce3,"https://cdn.zeptonow.com/production/tr:w-1280,ar-580-864,pr-true,f-auto,q-80/cms/product_variant/0d6a2f3e-ea83-48ba-a186-2664c07de657.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Let's Try Sabudana Mixture | Fasting Snacks,Let's,90,100,200 g,4.5 (1.5k),In Stock,https://www.zeptonow.com/pn/lets-try-sabudana-mixture-fasting-snacks/pvid/b5bb731e-9b64-437a-9b4d-fb522453a7ce,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1573-1600,pr-true,f-auto,q-80/cms/product_variant/0cf52a53-8b12-4edf-92f4-1536eca2b804.jpg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png","Act II Instant Popcorn - Classic Salted, Combo Pack of 3, Hot & Fresh in 3 Mins",Act,48,60,3 x 55 g,4.8 (2.0k),In Stock,https://www.zeptonow.com/pn/act-ii-instant-popcorn-classic-salted-combo-pack-of-3-hot-fresh-in-3-mins/pvid/21814f9f-2371-4f71-b455-81b3d87e34bf,"https://cdn.zeptonow.com/production/tr:w-1280,ar-4800-2700,pr-true,f-auto,q-80/cms/product_variant/20302f72-41a0-4479-98fd-7710ed5e6b7f.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Farmley Peri Peri Makhana Roasted In Olive Oil,Farmley,194,239,77 g,4.7 (3.1k),In Stock,https://www.zeptonow.com/pn/farmley-peri-peri-makhana-roasted-in-olive-oil/pvid/0ab68b24-bb40-4a07-a887-fe30b0c202be,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/a0c224ab-26bf-4aad-97cb-ac8ac31dd048.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Crax Curls Chatpata Masala Puff Snacks,Crax,36,60,82 g,4.7 (47.2k),In Stock,https://www.zeptonow.com/pn/crax-curls-chatpata-masala-puff-snacks/pvid/82839eb6-92a7-49ff-9f9e-a31a1a46a2c6,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1165-1500,pr-true,f-auto,q-80/cms/product_variant/af03b0f6-5d00-444c-a87e-486148a05693.png"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Let's Try Masala Boondi,Let's,102,120,180 g,4.6 (1.5k),In Stock,https://www.zeptonow.com/pn/lets-try-masala-boondi/pvid/a5be01b5-1e5b-49f2-a457-25e9d1d21b51,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1573-1600,pr-true,f-auto,q-80/cms/product_variant/86810173-56bb-4441-8fee-4af479c186ec.jpg"
